0,0,0
2,3,1
2,3,1
0,0,0
2,3,2
3,7,2
3,3,2
0,0,0
3,0,7
2,6,1
0,0,0
0,0,0
3,6,1
2,6,1
0,0,0
1,3,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,3,2
3,3,2
2,3,2
1,0,2
0,0,0
2,5,2
0,0,0
0,0,0
0,0,0
0,0,0
1,5,5
0,0,0
0,0,0
0,0,0
3,0,4
3,9,4
0,0,0
0,0,0
2,7,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,3,4
3,0,4
0,0,0
3,0,2
3,0,2
3,0,2
3,7,3
0,0,0
0,0,0
5,5,9
1,7,8
0,0,0
1,7,8
1,0,0
0,0,0
0,0,0
0,0,0
3,7,2
0,0,0
2,5,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,7,6
2,7,6
0,0,0
0,0,0
3,0,3
3,0,6
3,0,6
3,0,6
0,0,0
3,3,6
3,3,2
0,0,0
0,0,0
1,0,2
1,5,2
3,0,4
3,3,2
1,3,2
0,0,0
2,7,2
0,0,0
0,0,0
3,0,8
0,0,0
3,5,8
0,0,0
0,0,0
0,0,0
0,0,0
3,0,8
0,0,0
3,7,2
3,7,2
5,7,2
0,0,0
0,0,0
0,0,0
0,0,0
3,3,2
3,3,2
0,0,0
0,0,0
1,3,8
0,0,0
0,0,0
0,0,0
3,7,8
2,5,2
0,0,0
0,0,0
3,3,8
0,0,0
1,3,5
0,0,0
2,0,7
0,0,0
0,0,0
1,3,1
0,0,0
0,0,0
0,0,0
2,5,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,8,3
3,0,3
2,0,2
0,0,0
0,0,0
0,0,0
0,0,0
5,3,3
0,0,0
0,0,0
0,0,0
0,0,0
2,3,9
2,7,2
0,0,0
2,0,4
0,0,0
0,0,0
2,7,2
2,3,2
0,0,0
0,0,0
2,3,2
0,0,0
0,0,0
0,0,0
3,0,8
2,3,8
0,0,0
1,3,2
0,0,0
0,0,0
1,3,6
0,0,0
0,0,0
3,5,2
0,0,0
2,0,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,1,2
2,1,3
3,1,4
0,0,0
0,0,0
5,5,8
0,0,0
3,7,6
2,3,6
3,3,6
3,3,6
0,0,0
